Query,Response,language,intent,Response_DE,Response_TA
How can I enroll in e-statements?,"To enroll in e-statements, log into your online banking account and select the 'Statements' section to opt-in for electronic delivery.",en,unknown,"Um sich für E-Statements anzumelden, melden Sie sich in Ihr Online-Banking-Konto an und wählen Sie den Abschnitt ""Anweisungen"" aus, um sich für die elektronische Lieferung zu entscheiden.","மின்-அறிக்கைகளில் சேர, உங்கள் ஆன்லைன் வங்கி கணக்கில் உள்நுழைந்து, மின்னணு விநியோகத்தைத் தேர்வுசெய்ய 'அறிக்கைகள்' பகுதியைத் தேர்ந்தெடுக்கவும்."
What is the interest rate for a debtconsolidation loan?,The current interest rate for a debtconsolidation loan is 15.6%.,en,loan_info,"Der aktuelle Zinssatz für ein Schuldenkonsolidierungsdarlehen beträgt 15,6%.",கடன் ஒருங்கிணைப்பு கடனுக்கான தற்போதைய வட்டி விகிதம் 15.6%ஆகும்.
What is the interest rate for a personal loan?,The current interest rate for a personal loan is 17.0%.,en,loan_info,"Der aktuelle Zinssatz für ein persönliches Darlehen beträgt 17,0%.",தனிப்பட்ட கடனுக்கான தற்போதைய வட்டி விகிதம் 17.0%ஆகும்.
What is the interest rate for a medical loan?,The current interest rate for a medical loan is 11.1%.,en,loan_info,"Der aktuelle Zinssatz für ein medizinisches Darlehen beträgt 11,1%.",மருத்துவ கடனுக்கான தற்போதைய வட்டி விகிதம் 11.1%ஆகும்.
What is the interest rate for a education loan?,The current interest rate for a education loan is 6.7%.,en,loan_info,"Der aktuelle Zinssatz für ein Bildungsdarlehen beträgt 6,7%.",கல்வி கடனுக்கான தற்போதைய வட்டி விகிதம் 6.7%ஆகும்.
What is the interest rate for a venture loan?,The current interest rate for a venture loan is 7.1%.,en,loan_info,"Der aktuelle Zinssatz für ein Risikokredit beträgt 7,1%.",துணிகர கடனுக்கான தற்போதைய வட்டி விகிதம் 7.1%ஆகும்.
Kann ich Hilfe beim Verständnis meiner Kontoaussage bekommen?,"Yes, you can get help with understanding your account declaration by contacting customer service to clarify the fees or details.",de,unknown,"Ja, Sie können Hilfe beim Verständnis Ihrer Kontoerklärung erhalten, indem Sie sich an den Kundendienst wenden, um die Gebühren oder Details zu klären.",
What is the interest rate for a homeimprovement loan?,The current interest rate for a homeimprovement loan is 13.3%.,en,loan_info,"Der aktuelle Zinssatz für ein Hausverbesserungsdarlehen beträgt 13,3%.",வீட்டு மேம்பாட்டுக் கடனுக்கான தற்போதைய வட்டி விகிதம் 13.3%ஆகும்.
What is the interest rate for a debtconsolidation loan?,The current interest rate for a debtconsolidation loan is 5.7%.,en,loan_info,"Der aktuelle Zinssatz für ein Schuldenkonsolidierungsdarlehen beträgt 5,7%.",கடன் ஒருங்கிணைப்பு கடனுக்கான தற்போதைய வட்டி விகிதம் 5.7%ஆகும்.
What are your policies on account closure fees?,"Account closure fees, if any, are detailed in our fee schedule. Please review the information on our website or contact customer service.",en,unknown,"Die Gebühren für Kontoverschlüsse sind, falls vorhanden, in unserem Gebührenplan aufgeführt.Bitte überprüfen Sie die Informationen auf unserer Website oder wenden Sie sich an den Kundendienst.","கணக்கு மூடல் கட்டணம், ஏதேனும் இருந்தால், எங்கள் கட்டண அட்டவணையில் விவரிக்கப்பட்டுள்ளது.எங்கள் வலைத்தளத்தின் தகவல்களை மதிப்பாய்வு செய்யவும் அல்லது வாடிக்கையாளர் சேவையைத் தொடர்பு கொள்ளவும்."
எனது முள் எவ்வாறு மாற்றுவது?,"To change your pin, sign in or visit the ATM and follow the instructions to update your pin.",ta,unknown,,"உங்கள் முள் மாற்ற, உங்கள் ஆன்லைன் வங்கி கணக்கில் உள்நுழைக அல்லது ஏடிஎம்மைப் பார்வையிடவும், உங்கள் முள் புதுப்பிக்க வழிமுறைகளைப் பின்பற்றவும்."
நிதி அவசரநிலைகளுக்கு நான் எவ்வாறு உதவி பெற முடியும்?,Contact the customer service to discuss the available options and support for help for financial emergency.,ta,unknown,,"நிதி அவசரநிலைகளுக்கான உதவிக்கு, கிடைக்கக்கூடிய விருப்பங்கள் மற்றும் ஆதரவைப் பற்றி விவாதிக்க வாடிக்கையாளர் சேவையைத் தொடர்பு கொள்ளுங்கள்."
What is the interest rate for a homeimprovement loan?,The current interest rate for a homeimprovement loan is 14.6%.,en,loan_info,"Der aktuelle Zinssatz für ein Hausverbesserungsdarlehen beträgt 14,6%.",வீட்டு மேம்பாட்டுக் கடனுக்கான தற்போதைய வட்டி விகிதம் 14.6%ஆகும்.
What is the interest rate for a medical loan?,The current interest rate for a medical loan is 12.4%.,en,loan_info,"Der aktuelle Zinssatz für ein medizinisches Darlehen beträgt 12,4%.",மருத்துவ கடனுக்கான தற்போதைய வட்டி விகிதம் 12.4%ஆகும்.
What is the interest rate for a venture loan?,The current interest rate for a venture loan is 10.1%.,en,loan_info,"Der aktuelle Zinssatz für ein Risikokredit beträgt 10,1%.",துணிகர கடனுக்கான தற்போதைய வட்டி விகிதம் 10.1%ஆகும்.
What is the interest rate for a homeimprovement loan?,The current interest rate for a homeimprovement loan is 18.4%.,en,loan_info,"Der aktuelle Zinssatz für ein Hausverbesserungsdarlehen beträgt 18,4%.",வீட்டு மேம்பாட்டுக் கடனுக்கான தற்போதைய வட்டி விகிதம் 18.4%ஆகும்.
What is the interest rate for a personal loan?,The current interest rate for a personal loan is 10.2%.,en,loan_info,"Der aktuelle Zinssatz für ein persönliches Darlehen beträgt 10,2%.",தனிப்பட்ட கடனுக்கான தற்போதைய வட்டி விகிதம் 10.2%ஆகும்.
ஓய்வூதியத் திட்டத்திற்கான நிதி ஆலோசனையை நான் எவ்வாறு பெறுவது?,Contact our Pension Planning Advisors to plan a meeting and get customized financial advice for your pension planning requirements.,ta,unknown,,ஒரு கூட்டத்தை திட்டமிட எங்கள் ஓய்வூதிய திட்டமிடல் ஆலோசகர்களைத் தொடர்பு கொள்ளுங்கள் மற்றும் உங்கள் ஓய்வூதிய திட்டமிடல் தேவைகளுக்கு தனிப்பயனாக்கப்பட்ட நிதி ஆலோசனையைப் பெறுங்கள்.
What is the interest rate for a medical loan?,The current interest rate for a medical loan is 17.5%.,en,loan_info,"Der aktuelle Zinssatz für ein medizinisches Darlehen beträgt 17,5%.",மருத்துவ கடனுக்கான தற்போதைய வட்டி விகிதம் 17.5%ஆகும்.
What is the interest rate for a education loan?,The current interest rate for a education loan is 12.5%.,en,loan_info,"Der aktuelle Zinssatz für ein Bildungsdarlehen beträgt 12,5%.",கல்வி கடனுக்கான தற்போதைய வட்டி விகிதம் 12.5%ஆகும்.
What is the interest rate for a personal loan?,The current interest rate for a personal loan is 18.3%.,en,loan_info,"Der aktuelle Zinssatz für ein persönliches Darlehen beträgt 18,3%.",தனிப்பட்ட கடனுக்கான தற்போதைய வட்டி விகிதம் 18.3%ஆகும்.
What is the interest rate for a education loan?,The current interest rate for a education loan is 11.7%.,en,loan_info,"Der aktuelle Zinssatz für ein Bildungsdarlehen beträgt 11,7%.",கல்வி கடனுக்கான தற்போதைய வட்டி விகிதம் 11.7%ஆகும்.
What is the interest rate for a education loan?,The current interest rate for a education loan is 14.8%.,en,loan_info,"Der aktuelle Zinssatz für ein Bildungsdarlehen beträgt 14,8%.",கல்வி கடனுக்கான தற்போதைய வட்டி விகிதம் 14.8%ஆகும்.
What is the interest rate for a homeimprovement loan?,The current interest rate for a homeimprovement loan is 14.9%.,en,loan_info,"Der aktuelle Zinssatz für ein Hausverbesserungsdarlehen beträgt 14,9%.",வீட்டு மேம்பாட்டுக் கடனுக்கான தற்போதைய வட்டி விகிதம் 14.9%ஆகும்.
What is the interest rate for a homeimprovement loan?,The current interest rate for a homeimprovement loan is 12.1%.,en,loan_info,"Der aktuelle Zinssatz für ein Hausverbesserungsdarlehen beträgt 12,1%.",வீட்டு மேம்பாட்டுக் கடனுக்கான தற்போதைய வட்டி விகிதம் 12.1%ஆகும்.
What is the interest rate for a debtconsolidation loan?,The current interest rate for a debtconsolidation loan is 5.9%.,en,loan_info,"Der aktuelle Zinssatz für ein Schuldenkonsolidierungsdarlehen beträgt 5,9%.",கடன் ஒருங்கிணைப்பு கடனுக்கான தற்போதைய வட்டி விகிதம் 5.9%ஆகும்.
Do you offer insurance products?,"Yes, we offer various insurance products. Please visit our website or contact customer service for more information on insurance options.",en,unknown,"Ja, wir bieten verschiedene Versicherungsprodukte an.Bitte besuchen Sie unsere Website oder wenden Sie sich an den Kundendienst, um weitere Informationen zu Versicherungsoptionen zu erhalten.","ஆம், நாங்கள் பல்வேறு காப்பீட்டு தயாரிப்புகளை வழங்குகிறோம்.காப்பீட்டு விருப்பங்கள் குறித்த கூடுதல் தகவலுக்கு எங்கள் வலைத்தளத்தைப் பார்வையிடவும் அல்லது வாடிக்கையாளர் சேவையைத் தொடர்பு கொள்ளவும்."
What is the interest rate for a venture loan?,The current interest rate for a venture loan is 12.5%.,en,loan_info,"Der aktuelle Zinssatz für ein Risikokredit beträgt 12,5%.",துணிகர கடனுக்கான தற்போதைய வட்டி விகிதம் 12.5%ஆகும்.
Wie kann ich einen Autokredit beantragen?,Apply for a car loan by visiting our website to complete the online application or visit a branch to discuss your options with a loan matt.,de,unknown,"Beantragen Sie einen Autokredit, indem Sie unsere Website besuchen, um die Online -Bewerbung abzuschließen, oder eine Filiale besuchen, um Ihre Optionen mit einem Kreditsachen zu besprechen.",
Kann ich Hilfe bei der Studentenbudgetierung bekommen?,"Yes, we offer budgeting for students.Contact our financial advisors to get help with the administration of your finances.",de,unknown,"Ja, wir bieten Budgetierungshilfe für Studenten an. Wenden Sie sich an unsere Finanzberater, um beim Lernen Hilfe bei der Verwaltung Ihrer Finanzen zu erhalten.",
What is the interest rate for a education loan?,The current interest rate for a education loan is 5.5%.,en,loan_info,"Der aktuelle Zinssatz für ein Bildungsdarlehen beträgt 5,5%.",கல்வி கடனுக்கான தற்போதைய வட்டி விகிதம் 5.5%ஆகும்.
What is the interest rate for a debtconsolidation loan?,The current interest rate for a debtconsolidation loan is 14.4%.,en,loan_info,"Der aktuelle Zinssatz für ein Schuldenkonsolidierungsdarlehen beträgt 14,4%.",கடன் ஒருங்கிணைப்பு கடனுக்கான தற்போதைய வட்டி விகிதம் 14.4%ஆகும்.
கூட்டுக் கணக்கு வைத்திருப்பவரை நான் சேர்க்கலாமா?,"Yes, you can add a joint account holder by visiting a branch or updating your account details through online banking.",ta,unknown,,"ஆம், ஒரு கிளையைப் பார்வையிடுவதன் மூலமோ அல்லது ஆன்லைன் வங்கி மூலம் உங்கள் கணக்கு விவரங்களை புதுப்பிப்பதன் மூலமோ கூட்டுக் கணக்கு வைத்திருப்பவரைச் சேர்க்கலாம்."
Do you offer personal finance advice?,"Yes, we offer personal finance advice and financial planning services. Contact us to schedule a meeting with one of our financial advisors.",en,unknown,"Ja, wir bieten persönliche Finanzierungsberatung und Finanzplanungsdienste an.Kontaktieren Sie uns, um ein Treffen mit einem unserer Finanzberater zu vereinbaren.","ஆம், நாங்கள் தனிப்பட்ட நிதி ஆலோசனை மற்றும் நிதி திட்டமிடல் சேவைகளை வழங்குகிறோம்.எங்கள் நிதி ஆலோசகர்களில் ஒருவருடன் ஒரு கூட்டத்தை திட்டமிட எங்களைத் தொடர்பு கொள்ளுங்கள்."
Wie beantrage ich eine Geschäftskreditkarte?,Apply for a business credit card by visiting our website and filling out the online application or contacting our business credit department.,de,unknown,"Beantragen Sie eine Business -Kreditkarte, indem Sie unsere Website besuchen und die Online -Bewerbung ausfüllen oder sich an unsere Geschäftskreditabteilung wenden.",
What is the interest rate for a personal loan?,The current interest rate for a personal loan is 17.5%.,en,loan_info,"Der aktuelle Zinssatz für ein persönliches Darlehen beträgt 17,5%.",தனிப்பட்ட கடனுக்கான தற்போதைய வட்டி விகிதம் 17.5%ஆகும்.
What is the interest rate for a homeimprovement loan?,The current interest rate for a homeimprovement loan is 6.9%.,en,loan_info,"Der aktuelle Zinssatz für ein Hausverbesserungsdarlehen beträgt 6,9%.",வீட்டு மேம்பாட்டுக் கடனுக்கான தற்போதைய வட்டி விகிதம் 6.9%ஆகும்.
What is the interest rate for a venture loan?,The current interest rate for a venture loan is 11.4%.,en,loan_info,"Der aktuelle Zinssatz für ein Risikokredit beträgt 11,4%.",துணிகர கடனுக்கான தற்போதைய வட்டி விகிதம் 11.4%ஆகும்.
Kann ich ein Darlehen für die Renovierung von Eigenheimen erhalten?,"Yes, we offer loans for the renovation of home.Apply online or visit a branch to talk about your options with a loan.",de,unknown,"Ja, wir bieten Kredite für die Renovierung von Heim. Bewerben Sie sich online oder besuchen Sie eine Filiale, um mit einem Kreditsachen über Ihre Optionen zu sprechen.",
What is the interest rate for a venture loan?,The current interest rate for a venture loan is 18.5%.,en,loan_info,"Der aktuelle Zinssatz für ein Risikokredit beträgt 18,5%.",துணிகர கடனுக்கான தற்போதைய வட்டி விகிதம் 18.5%ஆகும்.
