Query,Response,language,intent
documents required at the time of admission,"To know more about document required visit <a target=""_blank"" href=""ADD LINK OF ADMISSION GUIDANCE DOCUMENT FROM YOUR UNIVERSITY WEBSITE""> here</a>",en,document
can you tell me the branches available in UNI?,"Our university offers Information Technology, computer Engineering, Mechanical engineering,Chemical engineering, Civil engineering and extc Engineering.",en,course
where is cafetaria,Our university has canteen with variety of food available,en,canteen
வீட்டு முன்னேற்றத்திற்கு நான் கடன் பெறலாமா?,"ஆம், வீட்டு முன்னேற்றத்திற்கு நாங்கள் கடன்களை வழங்குகிறோம். உங்கள் விருப்பங்களைப் பற்றி கடன் அதிகாரியுடன் பேச ஆன்லைனில் விண்ணப்பிக்கவும் அல்லது ஒரு கிளையைப் பார்வையிடவும்.",ta,unknown
stupid,please use appropriate language,en,swear
What facilities college provide,"Our university's Engineering department provides fully AC Lab with internet connection, smart classroom, Auditorium, library,canteen",en,facilities
எனது கணக்கு அமைப்புகளை எவ்வாறு நிர்வகிக்க முடியும்?,உங்கள் ஆன்லைன் வங்கி கணக்கில் உள்நுழைந்து 'அமைப்புகள்' பிரிவை அணுகுவதன் மூலம் உங்கள் கணக்கு அமைப்புகளை நிர்வகிக்கவும்.,ta,unknown
when is the holidays,Academic calender is given to you by your class-soordinators after you join your respective classes,en,vacation
Good day,Hello!,en,greeting
chemical scholarship,"Many government scholarships are supported by our university. For details and updates visit <a target=""_blank"" href=""(SCHOLARSHIP DETAILS LINK)"">here</a>",en,scholarship
புதிய டெபிட் கார்டை நான் எவ்வாறு கோரலாம்?,மாற்று அட்டையை ஆர்டர் செய்ய வாடிக்கையாளர் சேவையைத் தொடர்புகொள்வதன் மூலமோ அல்லது ஒரு கிளையைப் பார்வையிடுவதன் மூலமோ புதிய டெபிட் கார்டைக் கோருங்கள்.,ta,unknown
Was sind Ihre Richtlinien für Überziehung?,Unsere Richtlinien zum Schutz und Gebühren für Überziehung finden Sie auf unserer Website oder durch Kontakt mit dem Kundendienst für spezifische Details.,de,unknown
dumb ass,please use appropriate language,en,swear
Syllabus for IT,"Timetable provide direct to the students OR To know about syllabus visit <a target=""_blank"" href=""TIMETABLE LINK""> here</a>",en,syllabus
number of seats in each branch,"For IT, Computer and extc 60 per branch and seat may be differ for different department.",en,college intake
How do I report a lost or stolen debit card?,Report a lost or stolen debit card immediately by calling our customer service at 1-800-123-4567 or through our mobile app.,en,unknown
How can I request a change in my account type?,"To request a change in your account type, contact customer service or visit a branch to discuss the available options and requirements.",en,unknown
fucker,please use appropriate language,en,swear
distance between hostel and college,"For hostel detail visit <a target=""_blank"" href=""ADD YOUR HOSTEL DETAIL PDF LINK OR ANY INFORMATION LINK OR ADD YOU OWN ANSWERS""> here</a>",en,hostel
Wie richte ich automatisch für meine Rechnungen ein?,"Richten Sie über unser Online-Banking-Portal oder die mobile App automatisch für Ihre Rechnungen für Ihre Rechnungen ein, indem Sie ""Bill Pay"" auswählen und automatische Zahlungen konfigurieren.",de,unknown
document to bring,"To know more about document required visit <a target=""_blank"" href=""ADD LINK OF ADMISSION GUIDANCE DOCUMENT FROM YOUR UNIVERSITY WEBSITE""> here</a>",en,document
Can I get a loan for debt consolidation?,"Yes, we offer loans for debt consolidation. Apply online or visit a branch to discuss your options with a loan officer.",en,unknown
When is holidays,Academic calender is given to you by your class-soordinators after you join your respective classes,en,vacation
Do you offer retirement planning services?,"Yes, we offer retirement planning services. Contact us to schedule a meeting with a retirement planning advisor.",en,unknown
See you later,Sad to see you go :(,en,goodbye
Who is extc HOD,Different school wise hod are different.So be more clear with your school or department,en,extchod
sports infrastructure,"Our university encourages all-round development of students and hence provides sports facilities in the campus. For more details visit<a target=""_blank"" href=/""(LINK IF HAVE)"">here</a>",en,sports
whatsup,Hello!,en,greeting
fees for non-Ac room for boys,"For Fee detail visit <a target=""_blank"" href=""LINK""> here</a>",en,fees
I am Leaving,Sad to see you go :(,en,goodbye
whats your name?,You can call me Mind Reader.,en,name
Can I link my accounts for easier access?,"Yes, you can link your accounts for easier access through our online banking platform or mobile app.",en,unknown
Can I update my personal information online?,"Yes, you can update your personal information such as address or phone number by logging into your online banking account and accessing the 'Profile' section.",en,unknown
எனது டெபிட் கார்டை சர்வதேச அளவில் பயன்படுத்தலாமா?,"ஆம், உங்கள் டெபிட் கார்டை சர்வதேச அளவில் பயன்படுத்தலாம். உங்கள் அட்டை தடுக்கப்படுவதில் ஏதேனும் சிக்கல்களைத் தவிர்க்க பயணம் செய்வதற்கு முன் எங்களுக்குத் தெரிவிக்கவும்.",ta,unknown
Can I get a credit report through your bank?,Credit reports are available through credit reporting agencies. Check if you have access through your online banking account.,en,unknown
Kann ich meine persönlichen Daten online aktualisieren?,"Ja, Sie können Ihre persönlichen Daten wie Adresse oder Telefonnummer aktualisieren, indem Sie sich in Ihrem Online -Banking -Konto anmelden und auf den Abschnitt ""Profil"" zugreifen.",de,unknown
computer engineering?,"Our university offers Information Technology, computer Engineering, Mechanical engineering,Chemical engineering, Civil engineering and extc Engineering.",en,course
எனது கிரெடிட் கார்டில் கட்டணம் வசூலிப்பது எப்படி?,"குற்றச்சாட்டை மறுக்க, கட்டணத்தின் விவரங்கள் மற்றும் எந்தவொரு துணை ஆவணங்களுடன் எங்கள் வாடிக்கையாளர் சேவையைத் தொடர்பு கொள்ளவும்.",ta,unknown
maximum students intake,"For IT, Computer and extc 60 per branch and seat may be differ for different department.",en,college intake
"Was soll ich tun, wenn ich vermute, dass mein Konto kompromittiert wurde?","Wenden Sie sich sofort an unseren Kundendienst, um das Problem zu melden und Schritte zu ergreifen, um Ihr Konto über einen weiteren nicht autorisierten Zugriff zu sichern.",de,unknown
What are your policies on account minimum balances?,Account minimum balance requirements are detailed in our account terms and conditions. Review the information on our website or contact customer service.,en,unknown
how can i call you,You can contact at: NUMBER,en,number
how long will be the vacation,Academic calender is given to you by your class-soordinators after you join your respective classes,en,vacation
How can I get a loan for a new car?,"To apply for a car loan, visit our website to complete the online application or visit a branch to speak with a loan officer.",en,unknown
"Was soll ich tun, wenn ich mein Online -Banking -Passwort vergesse?","Klicken Sie auf der Anmeldeseite auf 'Passwort vergessen' und befolgen Sie die Anweisungen, um Ihr Passwort mit Ihrer registrierten E -Mail -Adresse zurückzusetzen.",de,unknown
Kann ich Kontobenachrichtigungen einrichten?,"Ja, Sie können Kontobenachrichtigungen über unser Online -Banking -Portal oder unsere mobile App einrichten, um Warnungen für verschiedene Kontoaktivitäten zu erhalten.",de,unknown
name of computer hod,All engineering departments have only one hod XYZ who available on (PLACE NAME),en,computerhod
Wie kann ich den Status meines Kreditantrags überprüfen?,"Um den Status Ihres Kreditantrags zu überprüfen, melden Sie sich in Ihrem Online -Banking -Konto an oder wenden Sie sich an unsere Kreditabteilung, um Aktualisierungen zu erhalten.",de,unknown
Do you offer student loan services?,"Yes, we offer student loan services. Please visit our website or contact our loan department for information on student loan options.",en,unknown
Wie richte ich ein neues Sparkonto ein?,"Um ein neues Sparkonto einzurichten, besuchen Sie unsere Website oder eine Filiale und geben Sie die erforderliche Identifizierung und Dokumentation an.",de,unknown
you are made by whom,College students,en,creator
what are the courses in UNI?,"Our university offers Information Technology, computer Engineering, Mechanical engineering,Chemical engineering, Civil engineering and extc Engineering.",en,course
அருகிலுள்ள கிளை அல்லது ஏடிஎம் எப்படி நான் கண்டுபிடிப்பது?,எங்கள் வலைத்தளம் அல்லது மொபைல் பயன்பாட்டில் கிளை லொக்கேட்டர் கருவியைப் பயன்படுத்தி அருகிலுள்ள கிளை அல்லது ஏடிஎம் ஆகியவற்றைக் காணலாம்.,ta,unknown
third year scholarship,"Many government scholarships are supported by our university. For details and updates visit <a target=""_blank"" href=""(SCHOLARSHIP DETAILS LINK)"">here</a>",en,scholarship
Kann ich Unterstützung bei der Budgetierung bekommen?,"Ja, wir bieten Budgetierungshilfe- und Finanzplanungsdienstleistungen an. Bitte kontaktieren Sie uns, um eine Beratung mit einem unserer Berater zu vereinbaren.",de,unknown
food variety,"we serve Franky, Locho, Alu-puri, Kachori, Khavsa, Thaali and many more on menu",en,menu
Erzählen Sie mir von Ihren Diensten,"Wir führen die internationale Bank und haben Filialen in 5 Städten auf der ganzen Welt. Wir bieten Sparkonto, Girokonto, Darlehen und Kreditkarten.",de,unknown
Wie kann ich meine E -Mail -Adresse aktualisieren?,"Aktualisieren Sie Ihre E -Mail -Adresse, indem Sie sich in Ihrem Online -Banking -Konto anmelden und auf den Abschnitt ""Profil"" oder ""Kontaktinformationen"" zugreifen.",de,unknown
நீங்கள் தனிப்பட்ட நிதி ஆலோசனைகளை வழங்குகிறீர்களா?,"ஆம், நாங்கள் தனிப்பட்ட நிதி ஆலோசனை மற்றும் நிதி திட்டமிடல் சேவைகளை வழங்குகிறோம். எங்கள் நிதி ஆலோசகர்களில் ஒருவருடன் ஒரு கூட்டத்தை திட்டமிட எங்களைத் தொடர்பு கொள்ளுங்கள்.",ta,unknown
நீங்கள் கணக்கு பாதுகாப்பு சேவைகளை வழங்குகிறீர்களா?,"ஆம், நாங்கள் கணக்கு பாதுகாப்பு சேவைகளை வழங்குகிறோம். கிடைக்கக்கூடிய பாதுகாப்பு விருப்பங்கள் குறித்த தகவலுக்கு வாடிக்கையாளர் சேவையைத் தொடர்பு கொள்ளுங்கள் அல்லது எங்கள் வலைத்தளத்தைப் பார்வையிடவும்.",ta,unknown
can we wear casuals,ENTER YOUR OWN UNIVERSITY UNIFORM CIRCULER,en,uniform
How can I apply for a loan?,"To apply for a loan, visit our website and fill out the online application form or visit one of our branches to speak with a loan officer.",en,unknown
list of holidays,Academic calender is given to you by your class-soordinators after you join your respective classes,en,vacation
Wie schließe ich mein Bankkonto?,"Um Ihr Bankkonto zu schließen, besuchen Sie eine Filiale mit Ihrem ID und verbleibenden Schecks oder Karten. Alternativ können Sie die Schließung des Kontos über das Online -Banking anfordern.",de,unknown
How can I request a temporary increase in my withdrawal limit?,"To request a temporary increase in your withdrawal limit, contact customer service or visit a branch to discuss your request.",en,unknown
Wie kann ich eine Änderung in meinem Kontotyp anfordern?,"Um eine Änderung Ihres Kontotyps anzufordern, wenden Sie sich an den Kundendienst oder besuchen Sie eine Filiale, um die verfügbaren Optionen und Anforderungen zu besprechen.",de,unknown
Kann ich über eine mobile App auf mein Konto zugreifen?,"Ja, Sie können auf Ihr Konto über unsere mobile App zugreifen, die sowohl auf iOS- als auch auf Android -Geräten heruntergeladen werden kann.",de,unknown
What's up,Hello!,en,greeting
Kann ich Hilfe bei der Studentenbudgetierung bekommen?,"Ja, wir bieten Budgetierungshilfe für Studenten an. Wenden Sie sich an unsere Finanzberater, um beim Lernen Hilfe bei der Verwaltung Ihrer Finanzen zu erhalten.",de,unknown
How can I check my account balance?,You can check your account balance by logging into our online banking portal or mobile app. You can also check your balance at an ATM.,en,unknown
புதிய காருக்கு நான் எவ்வாறு கடன் பெறுவது?,"கார் கடனுக்கு விண்ணப்பிக்க, ஆன்லைன் விண்ணப்பத்தை முடிக்க எங்கள் வலைத்தளத்தைப் பார்வையிடவும் அல்லது கடன் அதிகாரியுடன் பேச ஒரு கிளையைப் பார்வையிடவும்.",ta,unknown
Which document to bring for admission,"To know more about document required visit <a target=""_blank"" href=""ADD LINK OF ADMISSION GUIDANCE DOCUMENT FROM YOUR UNIVERSITY WEBSITE""> here</a>",en,document
Kann ich eine Kopie meiner Kontosgeschichte erhalten?,"Ja, Sie können eine Kopie Ihres Kontoverlaufs erhalten, indem Sie sich in Ihrem Online -Banking -Konto anmelden und die Informationen über den Abschnitt ""Kontoaktivität"" anfordern.",de,unknown
Where is HOD,All engineering departments have only one hod XYZ who available on (Place name),en,ithod
எனது பில்களுக்கு தானாக ஊதியத்தை எவ்வாறு அமைப்பது?,'பில் ஊதியம்' என்பதைத் தேர்ந்தெடுத்து தானியங்கி கொடுப்பனவுகளை உள்ளமைப்பதன் மூலம் எங்கள் ஆன்லைன் வங்கி போர்டல் அல்லது மொபைல் பயன்பாட்டின் மூலம் உங்கள் பில்களுக்கு தானாக ஊதியம் அமைக்கவும்.,ta,unknown
exam schedule,"Here is the Academic Calendar  <a target=""_blank"" href=""YOUR ACADEMIC CALENDER"">website</a>",en,sem
When is vacation,Academic calender is given to you by your class-soordinators after you join your respective classes,en,vacation
computer,"Our university offers Information Technology, computer Engineering, Mechanical engineering,Chemical engineering, Civil engineering and extc Engineering.",en,course
Wie kann ich bei einem Scheck eine Bezahlung anfordern?,"Fordern Sie eine Stoppzahlung bei einem Scheck an, indem Sie sich an unseren Kundenservice oder über das Online -Banking wenden, wenn die Option verfügbar ist.",de,unknown
"Was ist der Prozess, um eine Hypothek zu beantragen?","Beantragen Sie eine Hypothek, indem Sie unsere Website besuchen, die Online -Bewerbung ausfüllen oder eine Filiale besuchen, um Ihre Optionen mit einem Kreditsachen zu besprechen.",de,unknown
who created you,College students,en,creator
