Query,Response,language,intent
How can I check the status of my loan application?,"To check the status of your loan application, log into your online banking account or contact our loan department for updates.",en,unknown
What are your branch hours?,Branch hours vary by location. Please visit our website or contact your nearest branch for specific hours of operation.,en,unknown
How do I set up account alerts?,"Log into your online banking account, go to the 'Alerts' section, and choose the types of alerts you want to receive for your account activities.",en,unknown
What should I do if my account is frozen?,"If your account is frozen, contact our customer service immediately to resolve the issue and provide any necessary information.",en,unknown
Can I view my account history online?,"Yes, you can view your account history online by logging into your online banking account and accessing the 'Account History' section.",en,unknown
How can I get a loan for a new car?,"To apply for a car loan, visit our website to complete the online application or visit a branch to speak with a loan officer.",en,unknown
Do you offer mobile check deposit?,"Yes, we offer mobile check deposit through our banking app. Simply take a photo of the check and follow the instructions in the app.",en,unknown
How do I stop payment on a check?,"To stop payment on a check, contact our customer service or visit a branch with your account details and information about the check.",en,unknown
What is your policy on account minimum balances?,Our policy on minimum balances varies by account type. Please review the account details on our website or contact customer service for specifics.,en,unknown
How can I add an authorized user to my account?,"To add an authorized user, visit a branch or log into your online banking account and follow the instructions to add a new user.",en,unknown
How do I set up online banking?,"To set up online banking, visit our website and follow the instructions to register for online access using your account information.",en,unknown
Can I link multiple accounts for easier management?,"Yes, you can link multiple accounts for easier management through our online banking platform or mobile app.",en,unknown
How do I update my account preferences?,Update your account preferences by logging into your online banking account and navigating to the 'Settings' or 'Preferences' section.,en,unknown
Can I get a temporary credit limit increase?,"To request a temporary credit limit increase, contact customer service or log into your online banking account and apply for a temporary increase.",en,unknown
How do I check if my application is approved?,You can check the status of your application by logging into your online banking account or contacting customer service for an update.,en,unknown
How can I change my PIN?,"To change your PIN, log into your online banking account or visit an ATM and follow the instructions to update your PIN.",en,unknown
Do you offer investment services?,"Yes, we offer a range of investment services. Please visit our investment services page or contact a financial advisor for more information.",en,unknown
How can I request a stop payment on a check?,Request a stop payment on a check by contacting our customer service or through online banking if the option is available.,en,unknown
What are your options for retirement accounts?,"We offer various retirement account options, including IRAs and 401(k)s. Please visit our retirement planning page or consult a financial advisor.",en,unknown
Can I get assistance with budgeting?,"Yes, we offer budgeting assistance and financial planning services. Please contact us to schedule a consultation with one of our advisors.",en,unknown
How can I enroll in e-statements?,"To enroll in e-statements, log into your online banking account and select the 'Statements' section to opt-in for electronic delivery.",en,unknown
What should I do if I receive a suspicious email claiming to be from the bank?,Do not click any links or provide personal information. Forward the email to our fraud department at fraud@example.com for investigation.,en,unknown
How can I get a copy of my credit report?,You can request a copy of your credit report through the credit reporting agencies or check if it is available through your online banking account.,en,unknown
Do you offer student accounts?,"Yes, we offer student accounts with special features and benefits. Please visit our student accounts page or contact customer service for details.",en,unknown
How do I change my contact information?,"To change your contact information, log into your online banking account and update your details in the 'Profile' section.",en,unknown
Can I set up alerts for unusual account activity?,"Yes, you can set up alerts for unusual account activity through our online banking platform or mobile app to monitor your account more closely.",en,unknown
What is your policy on wire transfers?,"Our policy on wire transfers includes fees and limits, which can be found on our website or by contacting customer service for detailed information.",en,unknown
How can I cancel a scheduled payment?,"To cancel a scheduled payment, log into your online banking account, navigate to 'Scheduled Payments,' and follow the instructions to cancel.",en,unknown
What should I do if I suspect my account has been compromised?,Immediately contact our customer service to report the issue and take steps to secure your account from further unauthorized access.,en,unknown
Can I get a loan for home improvement?,"Yes, we offer loans for home improvement. Apply online or visit a branch to speak with a loan officer about your options.",en,unknown
How can I request a change in my account type?,"To request a change in your account type, contact customer service or visit a branch to discuss the available options and requirements.",en,unknown
How do I access my account statements online?,Log into your online banking account and navigate to the 'Statements' section to view and download your account statements.,en,unknown
What are your policies on account overdraft?,Our policies on overdraft protection and fees can be found on our website or by contacting customer service for specific details.,en,unknown
How can I get help with online banking issues?,"For assistance with online banking issues, contact our customer support team or visit a branch for in-person help.",en,unknown
Do you offer business banking services?,"Yes, we offer a range of business banking services. Please visit our business banking page or contact a representative for more information.",en,unknown
How can I find the nearest branch or ATM?,You can find the nearest branch or ATM by using the branch locator tool on our website or mobile app.,en,unknown
Can I access my account through a mobile app?,"Yes, you can access your account through our mobile app available for download on both iOS and Android devices.",en,unknown
What are your fees for international wire transfers?,Fees for international wire transfers can be found on our fee schedule on our website or by contacting customer service.,en,unknown
How do I change my account password?,"To change your account password, log into your online banking account, go to the 'Security' settings, and follow the instructions to update your password.",en,unknown
Can I add a joint account holder?,"Yes, you can add a joint account holder by visiting a branch or updating your account details through online banking.",en,unknown
How can I get a loan statement?,"Request a loan statement by logging into your online banking account, contacting customer service, or by visiting a branch.",en,unknown
Do you offer personal finance advice?,"Yes, we offer personal finance advice and financial planning services. Contact us to schedule a meeting with one of our financial advisors.",en,unknown
How do I activate a new debit card?,Activate your new debit card by calling the activation number provided with your card or by logging into your online banking account.,en,unknown
Can I set up account notifications?,"Yes, you can set up account notifications through our online banking portal or mobile app to receive alerts for various account activities.",en,unknown
How do I apply for a credit card?,"To apply for a credit card, visit our website and complete the online application form or visit a branch to apply in person.",en,unknown
What are the benefits of having a premium account?,"Premium accounts offer additional benefits such as higher interest rates, lower fees, and exclusive services. Please check our website for more details.",en,unknown
How can I update my email address?,Update your email address by logging into your online banking account and accessing the 'Profile' or 'Contact Information' section.,en,unknown
Can I get assistance with financial planning?,"Yes, we offer financial planning assistance. Contact our financial advisors to get help with planning and managing your finances.",en,unknown
What is the process for applying for a mortgage?,"Apply for a mortgage by visiting our website, completing the online application, or visiting a branch to discuss your options with a loan officer.",en,unknown
How do I set up auto-pay for my bills?,Set up auto-pay for your bills through our online banking portal or mobile app by selecting 'Bill Pay' and configuring automatic payments.,en,unknown
What should I do if I receive an unexpected charge on my account?,Review the charge details and contact customer service if you believe the charge is incorrect or unauthorized.,en,unknown
How can I verify my account information?,Verify your account information by logging into your online banking account or contacting customer service for assistance.,en,unknown
Do you offer retirement planning services?,"Yes, we offer retirement planning services. Contact us to schedule a meeting with a retirement planning advisor.",en,unknown
How do I check my credit score?,You can check your credit score through our online banking platform or by requesting a credit report from credit reporting agencies.,en,unknown
What are your policies on account closure fees?,"Account closure fees, if any, are detailed in our fee schedule. Please review the information on our website or contact customer service.",en,unknown
Can I transfer money internationally?,"Yes, you can transfer money internationally. Check our website or contact customer service for details on international transfer options and fees.",en,unknown
How can I get a replacement for a damaged card?,"To get a replacement for a damaged card, contact customer service or visit a branch to request a new card.",en,unknown
Do you offer student loan services?,"Yes, we offer student loan services. Please visit our website or contact our loan department for information on student loan options.",en,unknown
How do I dispute a charge on my credit card?,"To dispute a charge, contact our customer service with the details of the charge and any supporting documentation.",en,unknown
What is your policy on account inactivity fees?,Account inactivity fees and policies are detailed in our fee schedule. Please review the information on our website or contact customer service.,en,unknown
Can I link my accounts for easier access?,"Yes, you can link your accounts for easier access through our online banking platform or mobile app.",en,unknown
How do I set up a new savings account?,"To set up a new savings account, visit our website or a branch and provide the necessary identification and documentation.",en,unknown
How can I change my account type?,"To change your account type, contact customer service or visit a branch to discuss the available options and requirements.",en,unknown
Can I get a financial advisor appointment?,"Yes, you can schedule an appointment with a financial advisor by contacting our office or visiting our website to set up a meeting.",en,unknown
What should I do if I receive a suspicious call claiming to be from the bank?,Do not provide any personal information. Hang up and contact customer service using our official phone number to verify the call's legitimacy.,en,unknown
How can I request a credit increase on my card?,Request a credit increase by logging into your online banking account or contacting customer service to discuss your request.,en,unknown
Can I get a loan for home renovation?,"Yes, we offer loans for home renovation. Apply online or visit a branch to speak with a loan officer about your options.",en,unknown
What are the benefits of having a checking account?,"Checking accounts offer features such as easy access to funds, direct deposit, and check writing. Review our account options for more details.",en,unknown
How do I update my mailing address?,Update your mailing address by logging into your online banking account or contacting customer service to update your records.,en,unknown
Do you offer travel insurance?,"Yes, we offer travel insurance. Please visit our website or contact customer service for more information on travel insurance options.",en,unknown
How can I get help with financial emergencies?,"For help with financial emergencies, contact customer service to discuss available options and support.",en,unknown
Can I view my account activity history?,"Yes, you can view your account activity history by logging into your online banking account and accessing the 'Account Activity' section.",en,unknown
How do I activate my new credit card?,Activate your new credit card by calling the activation number provided with your card or by logging into your online banking account.,en,unknown
Can I get a loan for debt consolidation?,"Yes, we offer loans for debt consolidation. Apply online or visit a branch to discuss your options with a loan officer.",en,unknown
What is your policy on returned checks?,"Our policy on returned checks, including fees and procedures, can be found on our website or by contacting customer service.",en,unknown
How do I set up an automatic transfer between accounts?,"Set up an automatic transfer by logging into your online banking account, selecting 'Transfer Funds,' and scheduling the transfers.",en,unknown
Can I access my account through a web browser?,"Yes, you can access your account through a web browser by logging into our online banking platform.",en,unknown
How can I request a temporary increase in my withdrawal limit?,"To request a temporary increase in your withdrawal limit, contact customer service or visit a branch to discuss your request.",en,unknown
Do you offer account protection services?,"Yes, we offer account protection services. Contact customer service or visit our website for information on available protection options.",en,unknown
How do I access my tax documents?,Access your tax documents by logging into your online banking account and navigating to the 'Tax Documents' section.,en,unknown
Can I get help with budgeting and financial planning?,"Yes, we offer budgeting and financial planning assistance. Contact us to schedule a meeting with one of our financial advisors.",en,unknown
How do I change my account settings?,Change your account settings by logging into your online banking account and navigating to the 'Settings' section.,en,unknown
Can I get a loan for a business?,"Yes, we offer business loans. Apply online or visit a branch to discuss your business loan options with a loan officer.",en,unknown
What are your procedures for account reconciliation?,Account reconciliation procedures can be found on our website or by contacting customer service for specific details.,en,unknown
How can I get help with my mortgage application?,"For help with your mortgage application, contact our mortgage department or visit a branch to speak with a loan officer.",en,unknown
What should I do if I notice an unauthorized transaction?,Report any unauthorized transactions to customer service immediately to resolve the issue and secure your account.,en,unknown
Can I get a credit report through your bank?,Credit reports are available through credit reporting agencies. Check if you have access through your online banking account.,en,unknown
How do I apply for a personal loan?,Apply for a personal loan by visiting our website to complete the online application or visit a branch to discuss your options with a loan officer.,en,unknown
Can I link my bank account to my mobile wallet?,"Yes, you can link your bank account to your mobile wallet. Follow the instructions provided by your mobile wallet app to add your account.",en,unknown
What are your fees for account maintenance?,Fees for account maintenance can be found on our fee schedule. Please review the information on our website or contact customer service.,en,unknown
How can I request a new debit card?,Request a new debit card by contacting customer service or visiting a branch to order a replacement card.,en,unknown
Do you offer insurance products?,"Yes, we offer various insurance products. Please visit our website or contact customer service for more information on insurance options.",en,unknown
How do I manage my account alerts?,Manage your account alerts by logging into your online banking account and accessing the 'Alerts' section to customize your notifications.,en,unknown
Can I set up a recurring transfer between my accounts?,"Yes, you can set up a recurring transfer by logging into your online banking account and scheduling the transfer under 'Transfer Funds.'",en,unknown
What are your policies on account minimum balances?,Account minimum balance requirements are detailed in our account terms and conditions. Review the information on our website or contact customer service.,en,unknown
How can I apply for a car loan?,Apply for a car loan by visiting our website to complete the online application or visit a branch to discuss your options with a loan officer.,en,unknown
Can I get help with tax filing?,"For help with tax filing, consider consulting with a tax advisor or financial planner. We may also offer resources and assistance through our services.",en,unknown
How do I set up a joint account?,"To set up a joint account, visit a branch or contact customer service to complete the necessary paperwork and provide identification for all account holders.",en,unknown
Can I get a temporary overdraft limit increase?,"Yes, you can request a temporary overdraft limit increase by contacting customer service or visiting a branch to discuss your needs.",en,unknown
How do I close my account?,"To close your account, contact customer service or visit a branch to complete the account closure process.",en,unknown
Can I get a copy of my account contract?,Request a copy of your account contract by contacting customer service or accessing your account documents through our online banking portal.,en,unknown
How can I get financial advice for retirement planning?,Contact our retirement planning advisors to schedule a meeting and get personalized financial advice for your retirement planning needs.,en,unknown
What should I do if I forget my online banking password?,Reset your online banking password by following the instructions on the login page or contacting customer service for assistance.,en,unknown
Do you offer investment services?,"Yes, we offer investment services. Contact us or visit our website to learn more about our investment options and services.",en,unknown
What are your procedures for reporting lost or stolen cards?,Report lost or stolen cards immediately by contacting customer service to block the card and request a replacement.,en,unknown
How can I access my account statements?,Access your account statements by logging into your online banking account and navigating to the 'Statements' section.,en,unknown
Can I get help with student budgeting?,"Yes, we offer budgeting assistance for students. Contact our financial advisors to get help with managing your finances while studying.",en,unknown
How do I apply for a personal line of credit?,Apply for a personal line of credit by visiting our website or a branch to complete the application process with a loan officer.,en,unknown
Can I get a copy of my account history?,"Yes, you can get a copy of your account history by logging into your online banking account and requesting the information through the 'Account Activity' section.",en,unknown
What are your procedures for handling fraudulent transactions?,Procedures for handling fraudulent transactions are detailed on our website. Contact customer service immediately if you suspect fraud.,en,unknown
How do I set up a new direct deposit?,Set up a new direct deposit by providing your employer with your bank account details and instructions or by configuring it through your online banking account.,en,unknown
Can I access my account through a phone call?,Most account services are available through phone support. Contact customer service for assistance with your account over the phone.,en,unknown
How can I manage my account settings?,Manage your account settings by logging into your online banking account and accessing the 'Settings' section.,en,unknown
Do you offer financial literacy resources?,"Yes, we offer financial literacy resources. Visit our website or contact customer service to access educational materials and workshops.",en,unknown
What is your policy on account inactivity fees?,Account inactivity fees and policies are detailed in our fee schedule. Please review the information on our website or contact customer service for details.,en,unknown
How do I apply for a business credit card?,Apply for a business credit card by visiting our website and completing the online application or by contacting our business credit department.,en,unknown
Can I get help with understanding my account statement?,"Yes, you can get help with understanding your account statement by contacting customer service for clarification on any charges or details.",en,unknown
What should I do if I have a question about my loan?,"For questions about your loan, contact our loan department or visit a branch to speak with a loan officer for assistance.",en,unknown
What are your policies on account inactivity fees?,Account inactivity fees and policies are detailed in our fee schedule. Please review the information on our website or contact customer service for details.,en,unknown
Hi,"Hi there, My name is Alice from XYZ Bank. How may I help you?",en,unknown
Tell me about your services,"We are leading international bank, having branches in 5 cities across the Globe. We provide Savings Account, Current Account, Loans and Credit Cards.",en,unknown
புதிய வங்கிக் கணக்கை நான் எவ்வாறு திறப்பது?,"ஒரு புதிய வங்கிக் கணக்கைத் திறக்க, எங்கள் வலைத்தளத்தைப் பார்வையிட்டு 'திறந்த கணக்கு' என்பதைக் கிளிக் செய்க அல்லது உங்கள் அடையாள ஆவணங்களுடன் எங்கள் கிளைகளில் ஏதேனும் ஒன்றைப் பார்வையிடவும்.",ta,unknown
வங்கிக் கணக்கைத் திறக்க நான் என்ன வழங்க வேண்டும்?,"நீங்கள் செல்லுபடியாகும் ஐடி, முகவரியின் ஆதாரம் மற்றும் உங்கள் சமூக பாதுகாப்பு எண் அல்லது அதற்கு சமமான அடையாள எண்ணை வழங்க வேண்டும்.",ta,unknown
எனது கணக்கு இருப்பை எவ்வாறு சரிபார்க்க முடியும்?,எங்கள் ஆன்லைன் வங்கி போர்டல் அல்லது மொபைல் பயன்பாட்டில் உள்நுழைவதன் மூலம் உங்கள் கணக்கு இருப்பை சரிபார்க்கலாம். ஏடிஎம்மில் உங்கள் இருப்பையும் சரிபார்க்கலாம்.,ta,unknown
கணக்குகளுக்கு இடையில் பணத்தை எவ்வாறு மாற்றுவது?,"உங்கள் ஆன்லைன் வங்கி கணக்கு அல்லது மொபைல் பயன்பாட்டில் உள்நுழைந்து, 'இடமாற்ற நிதிகளை' என்பதைத் தேர்ந்தெடுத்து, கணக்குகளைத் தேர்வுசெய்து, நீங்கள் மாற்ற விரும்பும் தொகையை உள்ளிடவும்.",ta,unknown
எனது சம்பள காசோலைக்கு நேரடி வைப்புத்தொகையை அமைக்கலாமா?,"ஆம், உங்கள் முதலாளிக்கு உங்கள் கணக்கு எண் மற்றும் எங்கள் வங்கியின் ரூட்டிங் எண்ணை வழங்குவதன் மூலம் நேரடி வைப்புத்தொகையை அமைக்கலாம்.",ta,unknown
இழந்த அல்லது திருடப்பட்ட டெபிட் கார்டை நான் எவ்வாறு புகாரளிப்பது?,எங்கள் வாடிக்கையாளர் சேவையை 1-800-123-4567 அல்லது எங்கள் மொபைல் பயன்பாடு மூலம் அழைப்பதன் மூலம் இழந்த அல்லது திருடப்பட்ட டெபிட் கார்டை உடனடியாக புகாரளிக்கவும்.,ta,unknown
எனது ஆன்லைன் வங்கி கடவுச்சொல்லை மறந்துவிட்டால் நான் என்ன செய்ய வேண்டும்?,"உள்நுழைவு பக்கத்தில் உள்ள 'கடவுச்சொல்லை மறந்துவிட்டேன்' என்பதைக் கிளிக் செய்து, உங்கள் பதிவுசெய்யப்பட்ட மின்னஞ்சல் முகவரியைப் பயன்படுத்தி உங்கள் கடவுச்சொல்லை மீட்டமைக்க வழிமுறைகளைப் பின்பற்றவும்.",ta,unknown
கடனுக்கு நான் எவ்வாறு விண்ணப்பிக்க முடியும்?,"கடனுக்காக விண்ணப்பிக்க, எங்கள் வலைத்தளத்தைப் பார்வையிட்டு ஆன்லைன் விண்ணப்ப படிவத்தை நிரப்பவும் அல்லது கடன் அதிகாரியுடன் பேச எங்கள் கிளைகளில் ஒன்றைப் பார்வையிடவும்.",ta,unknown
சேமிப்புக் கணக்குகளுக்கான உங்கள் தற்போதைய வட்டி விகிதங்கள் என்ன?,சேமிப்புக் கணக்குகளுக்கான வட்டி விகிதங்கள் குறித்த மிகவும் புதுப்பித்த தகவல்களுக்கு எங்கள் வலைத்தளத்தைப் பார்வையிடவும் அல்லது வாடிக்கையாளர் சேவையைத் தொடர்பு கொள்ளவும்.,ta,unknown
எனது வங்கிக் கணக்கை எவ்வாறு மூடுவது?,"உங்கள் வங்கிக் கணக்கை மூட, உங்கள் ஐடி மற்றும் மீதமுள்ள காசோலைகள் அல்லது அட்டைகளுடன் ஒரு கிளையைப் பார்வையிடவும். மாற்றாக, ஆன்லைன் வங்கி மூலம் கணக்கு மூடலைக் கோரலாம்.",ta,unknown
எனது தனிப்பட்ட தகவல்களை ஆன்லைனில் புதுப்பிக்க முடியுமா?,"ஆம், உங்கள் ஆன்லைன் வங்கி கணக்கில் உள்நுழைந்து 'சுயவிவரம்' பகுதியை அணுகுவதன் மூலம் முகவரி அல்லது தொலைபேசி எண் போன்ற உங்கள் தனிப்பட்ட தகவல்களை புதுப்பிக்கலாம்.",ta,unknown
ஒரு பரிவர்த்தனையை மறுப்பதற்கான செயல்முறை என்ன?,"ஒரு பரிவர்த்தனையை மறுக்க, நீங்கள் தகராறு செய்ய விரும்பும் பரிவர்த்தனை பற்றிய உங்கள் கணக்கு விவரங்கள் மற்றும் தகவல்களுடன் எங்கள் வாடிக்கையாளர் சேவையைத் தொடர்பு கொள்ளுங்கள்.",ta,unknown
புதிய காசோலை புத்தகத்தை நான் எவ்வாறு ஆர்டர் செய்யலாம்?,"எங்கள் ஆன்லைன் வங்கி போர்ட்டல், மொபைல் பயன்பாடு அல்லது எங்கள் கிளைகளில் ஏதேனும் ஒன்றைப் பார்வையிடுவதன் மூலம் புதிய சோதனை புத்தகத்தை ஆர்டர் செய்யலாம்.",ta,unknown
ஓவர் டிராஃப்ட் பாதுகாப்பிற்கான உங்கள் கட்டணங்கள் என்ன?,ஓவர் டிராஃப்ட் பாதுகாப்புக்கான கட்டணம் மாறுபடும். எங்கள் இணையதளத்தில் எங்கள் கட்டண அட்டவணையைப் பார்க்கவும் அல்லது விவரங்களுக்கு வாடிக்கையாளர் சேவையைத் தொடர்பு கொள்ளவும்.,ta,unknown
எனது கடன் வரம்பை எவ்வாறு அதிகரிப்பது?,"உங்கள் கடன் வரம்பில் அதிகரிப்பு கோர, உங்கள் ஆன்லைன் வங்கி கணக்கில் உள்நுழைந்து கிரெடிட் கார்டு பிரிவு மூலம் விண்ணப்பிக்கவும் அல்லது வாடிக்கையாளர் சேவையை அழைக்கவும்.",ta,unknown
எனது புதிய கிரெடிட் கார்டை எவ்வாறு செயல்படுத்துவது?,உங்கள் அட்டையுடன் வழங்கப்பட்ட செயல்படுத்தும் எண்ணை அழைப்பதன் மூலம் அல்லது உங்கள் ஆன்லைன் வங்கி கணக்கில் உள்நுழைவதன் மூலம் உங்கள் புதிய கிரெடிட் கார்டை செயல்படுத்தவும்.,ta,unknown
தொடர்ச்சியான கொடுப்பனவுகளை நான் திட்டமிடலாமா?,"ஆம், உங்கள் பில்களுக்கான தானியங்கி கொடுப்பனவுகளை அமைப்பதன் மூலம் எங்கள் ஆன்லைன் வங்கி போர்டல் அல்லது மொபைல் பயன்பாட்டின் மூலம் தொடர்ச்சியான கொடுப்பனவுகளை நீங்கள் திட்டமிடலாம்.",ta,unknown
வெளிநாட்டு பரிவர்த்தனைகள் குறித்த உங்கள் வங்கியின் கொள்கை என்ன?,வெளிநாட்டு பரிவர்த்தனை கட்டணம் மற்றும் கொள்கைகள் எங்கள் வலைத்தளத்திலோ அல்லது உங்கள் கணக்கிற்கு குறிப்பிட்ட விவரங்களுக்கு வாடிக்கையாளர் சேவையைத் தொடர்புகொள்வதன் மூலமோ காணலாம்.,ta,unknown
வங்கி அறிக்கையை நான் எவ்வாறு கோர முடியும்?,"ஆன்லைன் வங்கி, எங்கள் மொபைல் பயன்பாடு அல்லது வாடிக்கையாளர் சேவையைத் தொடர்புகொள்வதன் மூலம் உங்களுக்கு ஒரு அறிக்கை அனுப்பலாம்.",ta,unknown
நீங்கள் நிதி திட்டமிடல் சேவைகளை வழங்குகிறீர்களா?,"ஆம், நாங்கள் நிதி திட்டமிடல் சேவைகளை வழங்குகிறோம். தயவுசெய்து எங்கள் வலைத்தளத்தைப் பார்வையிடவும் அல்லது மேலும் தகவலுக்கு எங்கள் நிதி ஆலோசகர்களைத் தொடர்பு கொள்ளவும், ஆலோசனையைத் திட்டமிடவும்.",ta,unknown
எனது கணக்கில் மோசடி நடவடிக்கைகளை நான் சந்தேகித்தால் நான் என்ன செய்ய வேண்டும்?,"மோசடி செயல்பாட்டை நீங்கள் சந்தேகித்தால், எங்கள் வாடிக்கையாளர் சேவையைப் புகாரளிக்க உடனடியாக தொடர்பு கொண்டு உங்கள் கணக்கைப் பாதுகாக்கவும்.",ta,unknown
எனது கணக்கு பரிவர்த்தனைகளுக்கான விழிப்பூட்டல்களை எவ்வாறு அமைப்பது?,உங்கள் ஆன்லைன் வங்கி கணக்கில் உள்நுழைந்து பல்வேறு கணக்கு நடவடிக்கைகளுக்கான அறிவிப்புகளைத் தனிப்பயனாக்க 'எச்சரிக்கைகள்' விருப்பத்தைத் தேர்ந்தெடுப்பதன் மூலம் கணக்கு விழிப்பூட்டல்களை அமைக்கலாம்.,ta,unknown
ஏடிஎம்மிலிருந்து நான் திரும்பப் பெறக்கூடிய அதிகபட்ச தொகை என்ன?,அதிகபட்ச ஏடிஎம் திரும்பப் பெறுதல் வரம்பு கணக்கு வகை மற்றும் இருப்பிடத்தால் மாறுபடும். உங்கள் கணக்கு விவரங்களுடன் சரிபார்க்கவும் அல்லது குறிப்பிட்ட வரம்புகளுக்கு வாடிக்கையாளர் சேவையைத் தொடர்பு கொள்ளவும்.,ta,unknown
எனது டெபிட் கார்டை சர்வதேச அளவில் பயன்படுத்தலாமா?,"ஆம், உங்கள் டெபிட் கார்டை சர்வதேச அளவில் பயன்படுத்தலாம். உங்கள் அட்டை தடுக்கப்படுவதில் ஏதேனும் சிக்கல்களைத் தவிர்க்க பயணம் செய்வதற்கு முன் எங்களுக்குத் தெரிவிக்கவும்.",ta,unknown
எனது கடன் விண்ணப்பத்தின் நிலையை எவ்வாறு சரிபார்க்க முடியும்?,"உங்கள் கடன் விண்ணப்பத்தின் நிலையை சரிபார்க்க, உங்கள் ஆன்லைன் வங்கி கணக்கில் உள்நுழைக அல்லது புதுப்பிப்புகளுக்கு எங்கள் கடன் துறையைத் தொடர்பு கொள்ளவும்.",ta,unknown
உங்கள் கிளை நேரம் என்ன?,கிளை நேரம் இருப்பிடத்தின் அடிப்படையில் மாறுபடும். தயவுசெய்து எங்கள் வலைத்தளத்தைப் பார்வையிடவும் அல்லது குறிப்பிட்ட மணிநேர செயல்பாட்டிற்கு உங்கள் அருகிலுள்ள கிளையைத் தொடர்பு கொள்ளவும்.,ta,unknown
கணக்கு விழிப்பூட்டல்களை எவ்வாறு அமைப்பது?,"உங்கள் ஆன்லைன் வங்கி கணக்கில் உள்நுழைந்து, 'விழிப்பூட்டல்கள்' பகுதிக்குச் சென்று, உங்கள் கணக்கு நடவடிக்கைகளுக்கு நீங்கள் பெற விரும்பும் விழிப்பூட்டல்களைத் தேர்வுசெய்க.",ta,unknown
எனது கணக்கு உறைந்திருந்தால் நான் என்ன செய்ய வேண்டும்?,"உங்கள் கணக்கு உறைந்திருந்தால், சிக்கலைத் தீர்க்க உடனடியாக எங்கள் வாடிக்கையாளர் சேவையைத் தொடர்பு கொள்ளுங்கள்.",ta,unknown
எனது கணக்கு வரலாற்றை ஆன்லைனில் பார்க்க முடியுமா?,"ஆம், உங்கள் ஆன்லைன் வங்கி கணக்கில் உள்நுழைந்து 'கணக்கு வரலாறு' பிரிவை அணுகுவதன் மூலம் உங்கள் கணக்கு வரலாற்றை ஆன்லைனில் காணலாம்.",ta,unknown
புதிய காருக்கு நான் எவ்வாறு கடன் பெறுவது?,"கார் கடனுக்கு விண்ணப்பிக்க, ஆன்லைன் விண்ணப்பத்தை முடிக்க எங்கள் வலைத்தளத்தைப் பார்வையிடவும் அல்லது கடன் அதிகாரியுடன் பேச ஒரு கிளையைப் பார்வையிடவும்.",ta,unknown
